ProbeSet,LocusLink,Symbol,GeneID
11715310_s_at,LOC51085,MLXIPL,MLXIPL_11715310_s_at
11715311_s_at,,DEFB103A || DEFB103B,DEFB103A || DEFB103B_11715311_s_at
11715312_at,LOC2303,FOXC2,FOXC2_11715312_at
11715313_s_at,LOC3972,LHB,LHB_11715313_s_at
11715314_at,LOC101930037,LOC101930037,LOC101930037_11715314_at
11715315_s_at,LOC101930037,LOC101930037,LOC101930037_11715315_s_at
11715316_x_at,LOC3107,HLA-C,HLA-C_11715316_x_at
11715317_s_at,,CGB || CGB1 || CGB2 || CGB5 || CGB7 || CGB8,CGB || CGB1 || CGB2 || CGB5 || CGB7 || CGB8_11715317_s_at
11715318_s_at,LOC1557,CYP2C19,CYP2C19_11715318_s_at
11715319_s_at,LOC4100,MAGEA1,MAGEA1_11715319_s_at
11715320_s_at,LOC7273,TTN,TTN_11715320_s_at
11715321_x_at,LOC386681,KRTAP10-8,KRTAP10-8_11715321_x_at
11715322_s_at,LOC646486,FABP12,FABP12_11715322_s_at
11715323_s_at,LOC390010,NKX1-2,NKX1-2_11715323_s_at
11715324_s_at,,PPIAL4A || PPIAL4G || PPIAL4D || PPIAL4B || PPIAL4C || PPIAL4F || PPIAL4E,PPIAL4A || PPIAL4G || PPIAL4D || PPIAL4B || PPIAL4C || PPIAL4F || PPIAL4E_11715324_s_at
11715325_at,LOC387804,VSTM5,VSTM5_11715325_at
11715326_s_at,LOC387804,VSTM5,VSTM5_11715326_s_at
11715327_x_at,,CBWD3 || CBWD1,CBWD3 || CBWD1_11715327_x_at
11715328_at,LOC389762,SPATA31D3,SPATA31D3_11715328_at
11715329_at,LOC55117,SLC6A15,SLC6A15_11715329_at
11715330_x_at,LOC730291,ZNF735,ZNF735_11715330_x_at
11715331_x_at,LOC79980,DSN1,DSN1_11715331_x_at
11715332_at,LOC158046,NXNL2,NXNL2_11715332_at
11715333_s_at,LOC158046,NXNL2,NXNL2_11715333_s_at
11715334_s_at,LOC158046,NXNL2,NXNL2_11715334_s_at
11715335_at,LOC128366,OR6P1,OR6P1_11715335_at
11715336_x_at,LOC100131390,SP9,SP9_11715336_x_at
11715337_s_at,,GH1 || GH2,GH1 || GH2_11715337_s_at
11715338_s_at,LOC340578,DCAF12L2,DCAF12L2_11715338_s_at
11715339_at,LOC7273,TTN,TTN_11715339_at
11715340_s_at,,CT47A12 || CT47A11 || CT47B1 || CT47A7 || CT47A10 || CT47A9 || CT47A8 || CT47A6 || CT47A5 || CT47A4 || CT47A3 || CT47A2 || CT47A1,CT47A12 || CT47A11 || CT47B1 || CT47A7 || CT47A10 || CT47A9 || CT47A8 || CT47A6 || CT47A5 || CT47A4 || CT47A3 || CT47A2 || CT47A1_11715340_s_at
11715341_at,LOC80133,MROH9,MROH9_11715341_at
11715342_at,LOC25798,BRI3,BRI3_11715342_at
11715343_at,LOC94025,MUC16,MUC16_11715343_at
11715344_at,LOC2950,GSTP1,GSTP1_11715344_at
11715345_s_at,LOC170689,ADAMTS15,ADAMTS15_11715345_s_at
11715346_at,LOC10148,EBI3,EBI3_11715346_at
11715347_s_at,LOC3043,HBB,HBB_11715347_s_at
11715348_x_at,LOC3043,HBB,HBB_11715348_x_at
11715349_a_at,LOC1350,COX7C,COX7C_11715349_a_at
11715350_a_at,LOC1277,COL1A1,COL1A1_11715350_a_at
11715351_at,LOC1277,COL1A1,COL1A1_11715351_at
11715352_x_at,LOC1277,COL1A1,COL1A1_11715352_x_at
11715353_s_at,LOC1278,COL1A2,COL1A2_11715353_s_at
11715354_a_at,LOC1278,COL1A2,COL1A2_11715354_a_at
11715355_at,LOC1278,COL1A2,COL1A2_11715355_at
11715356_x_at,LOC1278,COL1A2,COL1A2_11715356_x_at
11715357_s_at,LOC6227,RPS21,RPS21_11715357_s_at
11715358_x_at,LOC1471,CST3,CST3_11715358_x_at
11715359_a_at,LOC7076,TIMP1,TIMP1_11715359_a_at
11715360_x_at,LOC7076,TIMP1,TIMP1_11715360_x_at
11715361_a_at,LOC8992,ATP6V0E1,ATP6V0E1_11715361_a_at
